dynamic_family_id,structural_mode_id,dynamic_structural_submode_id,n,fraction_within_dynamic,fraction_within_structural,approx_medoid_real_row,median_H_abs,IQR_H_mean
D000,S033,D000-S033,116,0.0138872261462947,0.1050724637681159,22670,10.880216598510742,32.0771369934082
D000,S034,D000-S034,446,0.0533939901831677,0.377326565143824,8791,6.457393169403076,35.63190460205078
D000,S035,D000-S035,154,0.018436489883874,0.1269579554822753,11431,8.402511596679688,32.34347915649414
D000,S036,D000-S036,154,0.018436489883874,0.1356828193832599,41744,9.027118682861328,33.5960807800293
D000,S037,D000-S037,126,0.0150844008140787,0.1300309597523219,2583,8.56434154510498,34.062496185302734
D001,S002,D001-S002,1212,0.1653930131004367,0.1584313725490196,34408,5.5974555015563965,32.822235107421875
D001,S003,D001-S003,178,0.0242903930131004,0.0693416439423451,27879,8.72268009185791,39.57029724121094
D001,S004,D001-S004,297,0.0405294759825327,0.124215809284818,61641,8.479290008544922,35.12648391723633
D001,S005,D001-S005,133,0.0181495633187772,0.0622367805334581,22219,8.262696266174316,38.44288635253906
D001,S006,D001-S006,321,0.0438045851528384,0.131342062193126,15040,8.24785041809082,36.38088607788086
D001,S007,D001-S007,180,0.0245633187772925,0.0759493670886076,40178,9.027093887329102,37.216678619384766
D001,S008,D001-S008,212,0.0289301310043668,0.1435341909275558,50059,8.407751083374023,35.917179107666016
D001,S009,D001-S009,162,0.0221069868995633,0.1085790884718498,37813,9.104286193847656,33.58583450317383
D001,S010,D001-S010,190,0.0259279475982532,0.1271753681392235,60571,9.641698837280272,33.86387634277344
D001,S011,D001-S011,171,0.0233351528384279,0.1155405405405405,60961,9.756611824035645,34.884002685546875
D001,S012,D001-S012,302,0.0412117903930131,0.2230428360413589,11803,9.186115264892578,35.446083068847656
D001,S013,D001-S013,179,0.0244268558951965,0.1280400572246065,35679,9.87563419342041,35.02695846557617
D001,S014,D001-S014,52,0.0070960698689956,0.0431177446102819,13826,8.941667556762695,37.63687896728516
D001,S015,D001-S015,157,0.0214246724890829,0.1109540636042402,1766,8.986412048339844,34.29792022705078
D001,S016,D001-S016,58,0.007914847161572,0.0442748091603053,50972,10.796518325805664,34.257808685302734
D001,S017,D001-S017,125,0.0170578602620087,0.1053962900505902,37749,8.01513385772705,34.47930145263672
D001,S018,D001-S018,129,0.017603711790393,0.1014150943396226,59863,10.11268424987793,34.33253860473633
D001,S019,D001-S019,187,0.025518558951965,0.1355072463768116,10509,9.896307945251465,35.460174560546875
D001,S020,D001-S020,193,0.0263373362445414,0.1337491337491337,14280,9.471039772033691,35.709476470947266
D001,S021,D001-S021,148,0.0201965065502183,0.1100371747211896,51181,9.339632034301758,33.4167366027832
D001,S022,D001-S022,149,0.0203329694323144,0.1122833458929917,26849,9.096415519714355,33.846580505371094
D001,S023,D001-S023,160,0.0218340611353711,0.1205727204220045,5361,11.255635261535645,34.77987289428711
D001,S024,D001-S024,175,0.0238810043668122,0.1300148588410104,25742,8.857288360595703,34.244293212890625
D001,S025,D001-S025,131,0.0178766375545851,0.0939068100358423,4001,11.190279960632324,34.315147399902344
D001,S026,D001-S026,187,0.025518558951965,0.1416666666666666,57002,8.309523582458496,37.693058013916016
D001,S027,D001-S027,152,0.0207423580786026,0.116385911179173,5137,10.288634300231934,33.651004791259766
D001,S028,D001-S028,193,0.0263373362445414,0.1402616279069767,4820,8.957219123840332,33.37051010131836
D001,S029,D001-S029,206,0.0281113537117903,0.1577335375191424,60306,8.943222999572754,35.424827575683594
D001,S030,D001-S030,130,0.017740174672489,0.1125541125541125,15897,11.627982139587402,33.93781280517578
D001,S031,D001-S031,136,0.0185589519650655,0.1238615664845173,39833,10.739896774291992,33.26484298706055
D001,S032,D001-S032,169,0.0230622270742358,0.1331757289204097,18844,9.451719284057615,34.53912734985352
D001,S033,D001-S033,83,0.0113264192139738,0.0751811594202898,33624,11.776545524597168,33.87260818481445
D001,S034,D001-S034,94,0.0128275109170305,0.0795262267343485,36541,11.38134765625,34.44491958618164
