source,metric,score_column,quantile,threshold,high_n,nonhigh_n,high_pass,nonhigh_pass,high_pass_rate,nonhigh_pass_rate,pass_rate_delta,enrichment_ratio,bath_threshold,deloc_threshold
bath_sensitivity_variants,spectral_only,spectral_only_score,0.85,0.9998845,19194,96559,2576,14842,0.13420860685630925,0.15370913120475563,-0.019500524348446374,0.8731335985337803,,
bath_sensitivity_variants,spectral_only,spectral_only_score,0.9,0.99995005,19194,96559,1663,9973,0.08664165885172449,0.10328400252695244,-0.016642343675227947,0.8388681376780973,,
bath_sensitivity_variants,spectral_only,spectral_only_score,0.95,0.9999885,19194,96559,813,5002,0.04235698655829947,0.051802524881160744,-0.009445538322861276,0.817662587981375,,
bath_sensitivity_variants,bath_x_coupling,bath_x_coupling_score,0.5,0.268024625,19194,96559,9204,48271,0.4795248515160988,0.4999119709193343,-0.02038711940323551,0.9592185812919347,,
bath_sensitivity_variants,bath_x_coupling,bath_x_coupling_score,0.55,0.283095561,19194,96559,7969,43924,0.41518182765447537,0.4548928634306486,-0.03971103577617324,0.9127024427758967,,
bath_sensitivity_variants,bath_x_coupling,bath_x_coupling_score,0.6,0.297717992,19194,96559,6810,39375,0.3547983744920288,0.4077817707308485,-0.0529833962388197,0.8700692379066872,,
bath_sensitivity_variants,bath_x_coupling,bath_x_coupling_score,0.65,0.3124753595,19194,96559,5711,34786,0.29754089819735335,0.360256423533798,-0.06271552533644464,0.8259142065497108,,
bath_sensitivity_variants,bath_x_coupling,bath_x_coupling_score,0.7,0.327984807,19194,96559,4658,30154,0.24268000416796914,0.3122857527522033,-0.06960574858423418,0.7771087922814529,,
bath_sensitivity_variants,bath_x_coupling,bath_x_coupling_score,0.75,0.34440514,19194,96559,3646,25431,0.18995519433156194,0.263372652989364,-0.07341745865780208,0.7212411470041009,,
bath_sensitivity_variants,bath_x_coupling,bath_x_coupling_score,0.8,0.362425924,19194,96559,2759,20629,0.14374283630301135,0.21364140059445522,-0.06989856429144387,0.6728229449116522,,
bath_sensitivity_variants,bath_x_coupling,bath_x_coupling_score,0.85,0.3835313795,19194,96559,1917,15776,0.09987496092528915,0.16338197371555216,-0.06350701279026301,0.6112973093296776,,
bath_sensitivity_variants,bath_x_coupling,bath_x_coupling_score,0.9,0.40853967,19194,96559,1144,10728,0.059601958945503804,0.11110305616255346,-0.05150109721704966,0.5364565206766314,,
bath_sensitivity_variants,bath_x_coupling,bath_x_coupling_score,0.95,0.4401816265,19194,96559,499,5554,0.025997707616963635,0.05751923694321606,-0.03152152932625243,0.45198283215455376,,
bath_sensitivity_variants,bath_x_path,bath_x_path_score,0.5,0.39913532,19194,96559,9974,46716,0.5196415546524956,0.48380782733872557,0.03583372731377005,1.0740660346709976,,
bath_sensitivity_variants,bath_x_path,bath_x_path_score,0.55,0.4369222910000002,19194,96559,8608,42470,0.44847348129623843,0.4398347124555971,0.008638768840641353,1.0196409437363665,,
bath_sensitivity_variants,bath_x_path,bath_x_path_score,0.6,0.47734593999999997,19194,96559,7171,38332,0.3736063353131187,0.3969800847150447,-0.02337374940192599,0.9411211032948823,,
bath_sensitivity_variants,bath_x_path,bath_x_path_score,0.65,0.5208489500000001,19194,96559,5847,34098,0.30462644576430137,0.3531312461810914,-0.048504800416790006,0.8626437027554453,,
bath_sensitivity_variants,bath_x_path,bath_x_path_score,0.7,0.569620375,19194,96559,4655,29716,0.2425237053245806,0.3077496660073116,-0.06522596068273098,0.7880551373817533,,
bath_sensitivity_variants,bath_x_path,bath_x_path_score,0.75,0.6218692025,19194,96559,3516,25313,0.18318224445139106,0.2621506022224754,-0.07896835777108432,0.6987672082322075,,
bath_sensitivity_variants,bath_x_path,bath_x_path_score,0.8,0.6780413980000001,19194,96559,2543,20732,0.13248931957903512,0.21470810592487494,-0.08221878634583982,0.6170671526737436,,
bath_sensitivity_variants,bath_x_path,bath_x_path_score,0.85,0.7424519879999999,19194,96559,1591,16065,0.08289048661039908,0.1663749624581862,-0.08348447584778712,0.49821490797469803,,
bath_sensitivity_variants,bath_x_path,bath_x_path_score,0.9,0.8160995050000001,19194,96559,793,11177,0.04131499426904241,0.11575306289418905,-0.07443806862514664,0.3569235511876591,,
bath_sensitivity_variants,bath_x_path,bath_x_path_score,0.95,0.9001787249999998,19194,96559,240,5990,0.012503907471084715,0.06203461096324527,-0.04953070349216056,0.20156340592662253,,
bath_sensitivity_variants,bath_x_coupling_x_path,bath_x_coupling_x_path_score,0.5,0.006717491650000001,19194,96559,17842,32417,0.9295613212462228,0.3357222009341439,0.593839120312079,2.7688407816335263,,
bath_sensitivity_variants,bath_x_coupling_x_path,bath_x_coupling_x_path_score,0.55,0.009001172000000019,19194,96559,17238,27412,0.8980931541106596,0.28388860696568935,0.6142045471449702,3.163540670792762,,
bath_sensitivity_variants,bath_x_coupling_x_path,bath_x_coupling_x_path_score,0.6,0.012157021799999999,19194,96559,16448,22870,0.8569344586850057,0.23685000880290807,0.6200844498820977,3.6180469784068854,,
bath_sensitivity_variants,bath_x_coupling_x_path,bath_x_coupling_x_path_score,0.65,0.0165798928,19194,96559,15412,18740,0.80295925810149,0.19407823196180574,0.6088810261396843,4.137296851815463,,
bath_sensitivity_variants,bath_x_coupling_x_path,bath_x_coupling_x_path_score,0.7,0.02296595539999999,19194,96559,14048,15070,0.7318953839741585,0.15607038183908284,0.5758250021350757,4.689521325889899,,
bath_sensitivity_variants,bath_x_coupling_x_path,bath_x_coupling_x_path_score,0.75,0.0321578495,19194,96559,12421,11803,0.6471293112430968,0.12223614577615759,0.5248931654669392,5.294091261909869,,
bath_sensitivity_variants,bath_x_coupling_x_path,bath_x_coupling_x_path_score,0.8,0.046011148800000054,19194,96559,10354,9039,0.5394394081483797,0.09361116001615592,0.4458282481322237,5.762554465250513,,
bath_sensitivity_variants,bath_x_coupling_x_path,bath_x_coupling_x_path_score,0.85,0.06712349449999999,19194,96559,7870,6641,0.41002396582265294,0.0687766029059953,0.34124736291665764,5.9616780779806575,,
bath_sensitivity_variants,bath_x_coupling_x_path,bath_x_coupling_x_path_score,0.9,0.10076917060000004,19194,96559,4955,4612,0.2581535896634365,0.04776354353296948,0.21039004613046702,5.404824905531606,,
