context,dynamic_family,metric,n_targets,model_abs_error_mean,model_abs_error_median
c18,D000,c_l1,59,0.04533127759581471,0.0343114725004237
c18,D000,eta,59,0.0977229977542705,0.0466643103966034
c18,D000,ipr,59,0.038486174298147297,0.0243904107454774
c18,D000,purity,59,0.04025598431114866,0.0281614884352034
c18,D000,tau_transfer,59,2.607646843185089,1.8046698426115704
c18,D001,c_l1,50,0.0431294668489934,0.02748932751199775
c18,D001,eta,50,0.07929985262953984,0.0534822506720209
c18,D001,ipr,50,0.0420021324309367,0.0301379968935256
c18,D001,purity,50,0.043121094640971934,0.0344602735573624
c18,D001,tau_transfer,50,2.5292560272518263,2.1843546216347196
c18,D002,c_l1,54,0.04042053529929691,0.0254696060988952
c18,D002,eta,54,0.06974429327535929,0.0557099661749575
c18,D002,ipr,54,0.03844995497185811,0.0289301859638101
c18,D002,purity,54,0.040858087258327465,0.0330327178389146
c18,D002,tau_transfer,54,1.9495595031424942,1.9303350418992675
c18,D003,c_l1,47,0.034242199357876285,0.0242102697291704
c18,D003,eta,47,0.059875877769366065,0.0517424474962315
c18,D003,ipr,47,0.04343885402848933,0.0297558688763311
c18,D003,purity,47,0.04594593986483983,0.0311329994501594
c18,D003,tau_transfer,47,1.9249786837664935,1.771135550749026
c18,D004,c_l1,40,0.03239228104603286,0.02289542763379665
c18,D004,eta,40,0.09320099995911806,0.05852258516259005
c18,D004,ipr,40,0.03691880296176934,0.02697301598847675
c18,D004,purity,40,0.038368820243053436,0.02574060470137795
c18,D004,tau_transfer,40,1.874767701030348,1.1502424381193865
c18,D005,c_l1,28,0.05697048777344847,0.025635679065549
c18,D005,eta,28,0.08064779178951682,0.03993127752245895
c18,D005,ipr,28,0.04334566851435629,0.033552507323215255
c18,D005,purity,28,0.054833007008690114,0.0379563665720953
c18,D005,tau_transfer,28,1.5433172606468786,0.8949445337375046
c18,D006,c_l1,38,0.05906513710310353,0.030938729486103198
c18,D006,eta,38,0.10827717913466854,0.057329874289970495
c18,D006,ipr,38,0.04993754443978007,0.03375344949344375
c18,D006,purity,38,0.059301209354308604,0.04071485848278105
c18,D006,tau_transfer,38,2.6053861308845763,1.8526911648431632
c18,D007,c_l1,31,0.032155255139546486,0.0259620966793129
c18,D007,eta,31,0.08434908225441351,0.0562323962792107
c18,D007,ipr,31,0.05024325753312241,0.0357381567488236
c18,D007,purity,31,0.05095941012431916,0.0378789157999667
c18,D007,tau_transfer,31,2.0755149723374955,1.5537133707797963
c18,D008,c_l1,26,0.028139654946650498,0.01804860438245385
c18,D008,eta,26,0.08153558770610593,0.0524987630443434
c18,D008,ipr,26,0.03907385975239806,0.02904839630680805
c18,D008,purity,26,0.03855264525841366,0.025031167979949448
c18,D008,tau_transfer,26,2.2703337780825446,1.966282634943882
c18,D009,c_l1,32,0.035765118083469265,0.0219541838453998
c18,D009,eta,32,0.08521732924441236,0.0508967249807421
c18,D009,ipr,32,0.04702683519351156,0.0381774244619766
c18,D009,purity,32,0.050201391596172235,0.03940973544909425
c18,D009,tau_transfer,32,2.5362694709842923,1.919606253843579
c18,D010,c_l1,19,0.03748034692697874,0.0376047474894277
c18,D010,eta,19,0.058321981024263655,0.0288770127412063
c18,D010,ipr,19,0.062463029278366576,0.0591489932775651
c18,D010,purity,19,0.0646046533830552,0.0614380066935769
c18,D010,tau_transfer,19,2.329458496408369,0.8680581143146178
c18,D011,c_l1,22,0.04604137605718623,0.030451256477999053
c18,D011,eta,22,0.11175101787502864,0.0612089455561613
c18,D011,ipr,22,0.03819799943643004,0.0256360396137734
c18,D011,purity,22,0.04072485444316635,0.03220000573165185
c18,D011,tau_transfer,22,2.467840023907271,1.5869574358853047
c18,D012,c_l1,7,0.07893115606869523,0.0092994573482307
c18,D012,eta,7,0.22957525778273,0.2231578017214844
c18,D012,ipr,7,0.0932182020889704,0.0277280582511698
c18,D012,purity,7,0.09632550647990058,0.0381118778805871
c18,D012,tau_transfer,7,5.372697111755512,4.603968014722312
c25,D000,c_l1,59,0.03932801405328117,0.03648795865369
c25,D000,eta,59,0.09445262922700352,0.0564606941556579
c25,D000,ipr,59,0.03635489853655785,0.0174722817068431
c25,D000,purity,59,0.038963968796264035,0.0188302617518417
c25,D000,tau_transfer,59,2.706241796854854,1.980715973217535
c25,D001,c_l1,50,0.03786678125194565,0.02221470520479915
c25,D001,eta,50,0.08656615550688443,0.054263693388995546
c25,D001,ipr,50,0.046159466921308984,0.0265412253337763
c25,D001,purity,50,0.04658561011477956,0.02774921997366235
c25,D001,tau_transfer,50,2.308279644434156,1.7222104969098773
c25,D002,c_l1,54,0.043488591553059695,0.028654722125960097
c25,D002,eta,54,0.09508912217510206,0.07010955787634995
c25,D002,ipr,54,0.04329243438530422,0.0270911919680067
c25,D002,purity,54,0.045686279643182406,0.02955850301456585
c25,D002,tau_transfer,54,2.4569333371579964,1.9117181699334704
c25,D003,c_l1,47,0.040325884220693844,0.0323398690532672
c25,D003,eta,47,0.08653549759511736,0.0494051476595287
c25,D003,ipr,47,0.050829991713065736,0.0264859955497175
c25,D003,purity,47,0.05374292461374937,0.0305758395001684
c25,D003,tau_transfer,47,2.1227264519317663,1.9320869442282136
c25,D004,c_l1,40,0.03540324862101057,0.01906201493508265
c25,D004,eta,40,0.11775744656750073,0.09193483104281774
c25,D004,ipr,40,0.05308820367030387,0.0304483259407477
c25,D004,purity,40,0.05400731119985412,0.0335063976454292
c25,D004,tau_transfer,40,2.598238635177381,1.1556820289416354
c25,D005,c_l1,28,0.06565194512955025,0.03853362692650275
c25,D005,eta,28,0.09160045912370564,0.06509379417154885
c25,D005,ipr,28,0.0530006527917676,0.0327169417023382
c25,D005,purity,28,0.06484768679080041,0.0410660682003536
c25,D005,tau_transfer,28,2.044839157874216,1.3365310375302641
c25,D006,c_l1,38,0.056964283893906974,0.0274998102365165
c25,D006,eta,38,0.11151021983020457,0.035255386610211
c25,D006,ipr,38,0.04627746432936358,0.029975210162649
c25,D006,purity,38,0.053126707078174594,0.03267854174370975
c25,D006,tau_transfer,38,1.971210952681193,1.4167361416070658
c25,D007,c_l1,31,0.03668915625386638,0.0234322431448714
c25,D007,eta,31,0.09929969457386181,0.0541761359541774
c25,D007,ipr,31,0.04047778964481676,0.0238646681186537
c25,D007,purity,31,0.042176414017150846,0.0281228599141169
c25,D007,tau_transfer,31,2.0002438002929366,1.7930198970128686
c25,D008,c_l1,26,0.030584312842200548,0.02033677835305105
c25,D008,eta,26,0.08443515481127219,0.05004002615656455
c25,D008,ipr,26,0.033113802406869744,0.0211670023012057
c25,D008,purity,26,0.03223545917370123,0.0214410440791495
c25,D008,tau_transfer,26,2.5091719205020433,1.3774856147078776
c25,D009,c_l1,32,0.04714142177996587,0.0282213725806625
c25,D009,eta,32,0.08560366617868917,0.0637414026192641
c25,D009,ipr,32,0.03682312128144572,0.03140435527712715
c25,D009,purity,32,0.0414157108107676,0.03265784121067765
