method,target_id,dataset_index,neighbor_index,neighbor_context_distance,eta,target_eta,abs_err_eta,tau_transfer,target_tau_transfer,abs_err_tau_transfer,ipr,target_ipr,abs_err_ipr,purity,target_purity,abs_err_purity,c_l1,target_c_l1,abs_err_c_l1
nearest_neighbor_baseline,541,129267,99272,0.0886066694656502,0.508197009563446,0.5088033,0.0006062904365539135,21.627817153930664,21.498247,0.12957015393066484,0.270954430103302,0.27294868,0.001994249896697997,0.289859414100647,0.28468412,0.005175294100646988,0.38115695118904114,0.369901,0.011255951189041158
nearest_neighbor_baseline,542,80496,54699,0.07960239095952205,0.039458006620407104,0.034575075,0.004882931620407108,29.922761917114258,29.888807,0.03395491711425791,0.7018833756446838,0.70585346,0.003970084355316206,0.7029156684875488,0.7071043,0.004188631512451191,0.1251155287027359,0.11547966,0.009635868702735903
nearest_neighbor_baseline,543,20174,29467,0.08726178378812428,0.8173650503158569,0.8334814,0.016116349684143105,12.947983741760254,13.234088,0.28610425823974595,0.2789682447910309,0.280433,0.001464755208969104,0.2835315763950348,0.28704214,0.003510563604965211,0.26492878794670105,0.25779453,0.007134257946701028
nearest_neighbor_baseline,544,31774,133377,0.040622515160482514,0.9498770833015442,0.939248,0.010629083301544218,4.683944225311279,4.6200237,0.06392052531127934,0.2718925178050995,0.27246633,0.0005738121949004915,0.2792257070541382,0.27961096,0.0003852529458618359,0.26853522658348083,0.26598975,0.00254547658348081
nearest_neighbor_baseline,545,2806,127779,0.19743971121026402,0.4175661504268646,0.40796944,0.009596710426864608,22.24111557006836,21.9051,0.33601557006835847,0.23485520482063293,0.22408827,0.010766934820632929,0.3200676143169403,0.29959115,0.020476464316940335,0.7377439737319946,0.75054085,0.012796876268005408
nearest_neighbor_baseline,546,79908,116418,0.06713684230433827,0.198795348405838,0.20663439,0.007839041594161988,26.91269302368164,26.539753,0.3729400236816396,0.9308760166168213,0.9282647,0.0026113166168212354,0.931341290473938,0.92886984,0.0024714504739380416,0.0723186656832695,0.075227804,0.0029091383167304946
nearest_neighbor_baseline,547,29620,100573,0.07420251315999352,0.8064926266670227,0.815775,0.009282373332977323,15.614176750183105,15.545132,0.06904475018310485,0.28548693656921387,0.28129026,0.004196676569213853,0.30353352427482605,0.3031637,0.0003698242748260694,0.40298977494239807,0.41173542,0.008745645057601947
nearest_neighbor_baseline,548,50703,72808,0.06438673029145825,0.7281972765922546,0.7266238,0.0015734765922545968,20.551860809326172,20.732729,0.1808681906738272,0.2271576076745987,0.22863391,0.001476302325401302,0.23818795382976532,0.23594843,0.002239523829765333,0.4126357138156891,0.4044834,0.008152313815689094
nearest_neighbor_baseline,549,108487,2662,0.12333379800922871,0.8204728364944458,0.8360564,0.015583563505554232,17.927038192749023,17.863283,0.0637551927490243,0.3738276958465576,0.36408868,0.00973901584655762,0.38878464698791504,0.37812954,0.010655106987915053,0.4089626371860504,0.40307897,0.005883667186050434
nearest_neighbor_baseline,550,137915,3266,0.16178356480305897,0.26210200786590576,0.24724793,0.014854077865905757,27.222900390625,26.48304,0.739860390625001,0.32257315516471863,0.33372656,0.011153404835281377,0.3762897551059723,0.36532095,0.010968805105972312,0.4820612072944641,0.48030734,0.0017538672944640843
nearest_neighbor_baseline,551,58438,43942,0.04633776565275962,0.9816546440124512,0.98803884,0.006384195987548802,5.952820777893066,6.116672,0.16385122210693392,0.22082601487636566,0.22070016,0.0001258548763656553,0.23833255469799042,0.23958364,0.0012510853020095691,0.4534345865249634,0.44861326,0.004821326524963365
nearest_neighbor_baseline,552,21143,57151,0.09259233009608073,0.7761474251747131,0.7788192,0.00267177482528691,18.3072566986084,18.200243,0.10701369860839804,0.2972010374069214,0.29903224,0.001831202593078618,0.3310706615447998,0.31870311,0.012367551544799793,0.4326415956020355,0.43272537,8.377439796447561e-05
nearest_neighbor_baseline,553,49832,53529,0.08277870635615425,0.9140239953994751,0.930598,0.01657400460052494,14.170389175415039,14.218661,0.04827182458496182,0.17971935868263245,0.18666604,0.006946681317367559,0.20295819640159607,0.2013833,0.001574896401596082,0.5197461843490601,0.5146873,0.0050588843490601
nearest_neighbor_baseline,554,9621,133340,0.11206504493311929,0.40773308277130127,0.4122784,0.00454531722869872,20.29155921936035,19.964928,0.3266312193603511,0.23723018169403076,0.22994068,0.007289501694030753,0.25259992480278015,0.25961086,0.0070109351972198475,0.3998718559741974,0.41013217,0.01026031402580263
nearest_neighbor_baseline,555,90382,130173,0.06299610514826642,0.3735573887825012,0.36652547,0.007031918782501201,25.081562042236328,25.000937,0.08062504223632772,0.3430638313293457,0.33578712,0.007276711329345709,0.3499591052532196,0.34686038,0.003098725253219581,0.26672208309173584,0.26807517,0.001353086908264134
nearest_neighbor_baseline,556,104374,86868,0.11230644147893697,0.5667693018913269,0.5745502,0.007780898108673107,22.678709030151367,22.54313,0.13557903015136574,0.40952610969543457,0.4191703,0.009644190304565425,0.4107898771762848,0.42043617,0.009646292823715208,0.14795005321502686,0.15435867,0.006408616784973148
nearest_neighbor_baseline,557,102897,46788,0.07146396173457709,0.48720255494117737,0.48853737,0.0013348150588226582,18.638145446777344,18.768845,0.13069955322265514,0.24531061947345734,0.23619995,0.009110669473457345,0.2583928108215332,0.25528818,0.0031046308215332274,0.3126433193683624,0.31242603,0.00021728936836240553
nearest_neighbor_baseline,558,54633,3218,0.11748248497012209,0.15981325507164001,0.1699406,0.010127344928359983,28.80791473388672,28.404053,0.40386173388671764,0.554870069026947,0.545037,0.009833069026947028,0.5561458468437195,0.5469396,0.009206246843719512,0.13914789259433746,0.13961226,0.00046436740566252466
nearest_neighbor_baseline,559,70060,45200,0.07364053183534763,0.6302947402000427,0.6315362,0.0012414597999572674,20.15633773803711,20.097155,0.059182738037108606,0.3796542286872864,0.38572633,0.006072101312713629,0.3840806782245636,0.3903929,0.0063122217754363885,0.24255047738552094,0.23717067,0.005379807385520935
nearest_neighbor_baseline,560,102016,67363,0.07593257243198005,0.9119642376899719,0.92987037,0.017906132310028022,15.326582908630371,15.045594,0.2809889086303716,0.37767669558525085,0.37743837,0.00023832558525083147,0.3829028606414795,0.38207573,0.0008271306414794899,0.24987418949604034,0.24619722,0.00367696949604035
nearest_neighbor_baseline,561,49983,103909,0.0904980699166141,0.8037225604057312,0.7942748,0.009447760405731254,17.836376190185547,17.296724,0.5396521901855458,0.2831888496875763,0.28271684,0.00047200968757626915,0.2902345359325409,0.29130936,0.0010748240674591236,0.3307904601097107,0.33616364,0.0053731798902892924
nearest_neighbor_baseline,562,46417,31264,0.06828450511686773,0.838080108165741,0.8300228,0.008057308165741017,19.064943313598633,18.867785,0.19715831359863145,0.30130359530448914,0.30040523,0.0008983653044891127,0.3120881915092468,0.30494532,0.0071428715092468065,0.2836188077926636,0.28056476,0.00305404779266355
nearest_neighbor_baseline,563,103676,24803,0.05609762430676973,0.5263660550117493,0.53584135,0.009475294988250726,23.650806427001953,23.69682,0.04601357299804576,0.2786954641342163,0.28008547,0.0013900058657836944,0.2817997932434082,0.28281537,0.0010155767565918072,0.20300287008285522,0.20950103,0.00649815991714478
nearest_neighbor_baseline,564,104307,46541,0.07774364344243742,0.8238490223884583,0.82662374,0.0027747176115417993,17.380830764770508,17.281738,0.0990927647705071,0.2506069242954254,0.2485447,0.0020622242954254077,0.260469913482666,0.26954558,0.009075666517333991,0.4081125557422638,0.40305954,0.0050530157422638
nearest_neighbor_baseline,565,91888,32407,0.027015948560972412,0.5595061779022217,0.556569,0.0029371779022216993,21.109527587890625,21.1384,0.028872412109375745,0.24264435470104218,0.24153994,0.0011044147010421668,0.24521760642528534,0.24434067,0.0008769364252853296,0.19538652896881104,0.19871552,0.0033289910311889714
nearest_neighbor_baseline,566,129660,10824,0.06457701420295682,0.9870463013648987,0.99202263,0.004976328635101335,5.662710189819336,5.4880505,0.174659689819336,0.2514813542366028,0.25867078,0.007189425763397206,0.26458796858787537,0.2673578,0.0027698314121246126,0.3724561631679535,0.37014934,0.002306823167953498
nearest_neighbor_baseline,567,68192,127996,0.07957750455454354,0.3668631911277771,0.36798972,0.0011265288722229205,24.739948272705078,24.716265,0.023683272705078195,0.26835471391677856,0.26536438,0.0029903339167785536,0.2778669595718384,0.2838323,0.005965340428161603,0.3783370554447174,0.36910075,0.00923630544471743
nearest_neighbor_baseline,568,12639,91165,0.08951984762367315,0.14678308367729187,0.15887499,0.012091906322708124,26.330812454223633,26.643608,0.3127955457763676,0.3324356973171234,0.33000398,0.0024317173171234385,0.33727508783340454,0.33297437,0.0043007178334045215,0.22295904159545898,0.21469231,0.008266731595458987
nearest_neighbor_baseline,569,100153,21335,0.08997881238617565,0.2525491416454315,0.24419552,0.00835362164543152,24.073158264160156,24.24337,0.1702117358398425,0.2481079399585724,0.2576526,0.009544660041427622,0.26587411761283875,0.27031475,0.004440632387161247,0.3632868528366089,0.35851282,0.004774032836608877
nearest_neighbor_baseline,570,70656,108536,0.03856584514349764,0.9118009805679321,0.91865546,0.00685447943206785,12.608671188354492,12.471125,0.1375461883544915,0.3597196638584137,0.35718575,0.0025339138584136722,0.3657064735889435,0.36350662,0.002199853588943479,0.266414999961853,0.2668871,0.0004721000381469609
nearest_neighbor_baseline,571,123777,120162,0.05448858472932613,0.4194803237915039,0.43275505,0.013274726208496068,23.20830535888672,23.107105,0.10120035888671808,0.2567348778247833,0.25684872,0.00011384217521664963,0.2618432939052582,0.26370314,0.0018598460947418238,0.2829417884349823,0.27922386,0.0037179284349823094
nearest_neighbor_baseline,572,79970,43766,0.08461488288859631,0.7547938227653503,0.7686641,0.01387027723464962,21.56806755065918,21.870243,0.30217544934081886,0.4360741078853607,0.43748,0.0014058921146392622,0.44056636095046997,0.44281736,0.0022509990495300225,0.2684954106807709,0.27633426,0.007838849319229124
nearest_neighbor_baseline,573,83530,79957,0.07165466684274809,0.4623897671699524,0.44586882,0.016520947169952394,22.76544952392578,22.929441,0.16399147607421938,0.3118915557861328,0.31668133,0.004789774213867171,0.3392055034637451,0.33990926,0.0007037565362548737,0.36665236949920654,0.3637202,0.0029321694992065495
nearest_neighbor_baseline,574,50999,33651,0.10572026253599771,0.9800825715065002,0.99352896,0.013446388493499772,6.023321151733398,5.4803944,0.5429267517333987,0.19562678039073944,0.19955805,0.003931269609260546,0.24711298942565918,0.24271014,0.004402849425659189,0.728320837020874,0.7340186,0.005697762979125942
nearest_neighbor_baseline,575,125945,132175,0.10853718414803178,0.6133432984352112,0.62766373,0.014320431564788794,21.594013214111328,21.978476,0.38446278588867244,0.19922402501106262,0.20862669,0.009402664988937381,0.21988078951835632,0.22099835,0.0011175604816436868,0.494737833738327,0.48816904,0.006568793738327028
