context,dynamic_family,metric,n_targets,model_mae,random_mae,delta_model_minus_random,reduction_vs_random,model_better_vs_random,nn_mae,delta_model_minus_nn,model_better_vs_nn
c5,D010,eta,19,0.05981607312216423,0.3718708393020039,-0.3120547661798396,0.8391482557910749,0.7894736842105263,0.011601451061305947,0.04821462206085828,0.10526315789473684
c5,D010,tau_transfer,19,1.560363751563308,7.365623148790545,-5.805259397227236,0.7881559075121127,0.8947368421052632,0.25844357430211135,1.3019201772611966,0.10526315789473684
c5,D010,ipr,19,0.05801571100200933,0.12994586566209487,-0.07193015466008554,0.5535393857556756,0.8421052631578947,0.004231396842482669,0.053784314159526656,0.10526315789473684
c5,D010,purity,19,0.059041725298074374,0.13007933730299784,-0.07103761200492346,0.5461098855343439,0.8421052631578947,0.003915819290685095,0.05512590600738928,0.0
c5,D010,c_l1,19,0.03321650866483055,0.16112236007785463,-0.12790585141302407,0.7938429610342086,0.8421052631578947,0.005099228921000784,0.028117279743829767,0.21052631578947367
c5,D009,eta,32,0.08151633322636613,0.28554540144752083,-0.20402906822115469,0.7145240903438339,0.8125,0.010810350087844572,0.07070598313852156,0.1875
c5,D009,tau_transfer,32,2.2263159598604223,6.814014175771295,-4.587698215910873,0.6732739465414422,0.75,0.1968830212856291,2.0294329385747933,0.0625
c5,D009,ipr,32,0.03840398077249147,0.11187290931542608,-0.0734689285429346,0.6567177790629248,0.8125,0.003950875633553218,0.034453105138938254,0.125
c5,D009,purity,32,0.04247008839893243,0.10486441303050113,-0.0623943246315687,0.5949999893044795,0.71875,0.0029553580500781083,0.039514730348854325,0.0625
c5,D009,c_l1,32,0.035711531370968594,0.16680518548743858,-0.13109365411647,0.785908745782619,0.9375,0.005221506534776047,0.030490024836192547,0.1875
c5,D012,eta,7,0.05571447781864648,0.33601114071915766,-0.2802966629005112,0.8341885995226171,1.0,0.013033993116187985,0.0426804847024585,0.0
c5,D012,tau_transfer,7,0.8374753779443681,8.34546942996688,-7.507994052022512,0.8996490988347324,1.0,0.32202802203369174,0.5154473559106764,0.14285714285714285
