method,target_id,eta,tau_transfer,ipr,purity,c_l1,target_eta,target_tau_transfer,target_ipr,target_purity,target_c_l1,dataset_index,abs_err_eta,abs_err_tau_transfer,abs_err_ipr,abs_err_purity,abs_err_c_l1
model,57,0.13742357758186938,26.181278795182315,0.25154263830336554,0.2532565812534225,0.18853656493457632,0.08381365,29.16065,0.30132908,0.3048634,0.21369682,89584,0.05360992518566729,2.979371458113583,0.049786437986765075,0.05160681205330969,0.025160257589494417
model,48,0.1973185368163978,25.21521924359244,0.21509892979383421,0.22081040269110302,0.30938859270296104,0.3051758,22.778698,0.20980999,0.21571718,0.2750041,26553,0.10785727423592459,2.436521276063143,0.005288941056727892,0.0050932211277256445,0.03438450382432945
model,50,0.9771879147993533,8.181263855908313,0.38801216746627426,0.395736446364609,0.32232934187295864,0.9519933,8.143304,0.39042464,0.4010223,0.33748624,54029,0.02519462818970364,0.037959984753527465,0.002412471520313264,0.0052858388583982285,0.015156895414562721
model,54,0.8881635825454737,16.28731299747293,0.3584044232508929,0.3823463348273594,0.49269830279004273,0.9406932,12.716965,0.27513498,0.29039907,0.5042295,132888,0.05252961708907833,3.5703482757932434,0.08326944257233454,0.09194726027291605,0.011531183198574213
model,61,0.6400442806009724,23.763348119040323,0.35190195674750635,0.35948039415589816,0.31295986100033346,0.7488985,22.824816,0.4855495,0.49909177,0.39332604,92683,0.10885422556357838,0.9385323689182528,0.13364755277779272,0.13961138006933682,0.08036618308230814
model,62,0.9705805458671876,9.937451207256494,0.2433293819708006,0.26179538019239057,0.47287158402776797,0.9635143,12.703297,0.3846223,0.41405958,0.43764108,62402,0.007066217864257873,2.765845454120459,0.14129292366083698,0.15226419918001544,0.035230499833584616
model,59,0.18239895563014993,25.782707062880508,0.827541885431917,0.8282339578485864,0.09355613525463187,0.24107951,26.234648,0.86947674,0.87010956,0.08143045,87885,0.05868055362812033,0.451940687973984,0.04193485015997145,0.041875600256882306,0.012125685172806613
model,63,0.23227501524171726,27.668064264761732,0.23599889802120042,0.23825245066457454,0.19534326581134906,0.120743476,30.155148,0.22219725,0.22367024,0.14986375,107660,0.11153153938732044,2.4870832877285025,0.013801648489454504,0.014582206447655593,0.045479516068841125
model,56,0.82386504556113,18.47608127057225,0.32233116157651875,0.37096102722024366,0.6818238779707605,0.928411,12.686552,0.2703113,0.30094028,0.54258186,24993,0.10454596136636018,5.789529222842759,0.05201986559034322,0.07002075202798291,0.13924202171999756
model,58,0.6106770932029432,20.837964501088635,0.2488535933743609,0.269346559526693,0.4215653375474433,0.81023276,16.308239,0.25414038,0.26776546,0.35070863,21287,0.19955566531909052,4.529725517934338,0.005286783670316847,0.0015810971281639552,0.07085670388617316
model,60,0.21448639076652123,27.25162274724448,0.2557373915325732,0.2678590106666064,0.28735488068670784,0.6373154,22.101055,0.22667082,0.2654196,0.4601942,123520,0.42282900172768045,5.150567601980807,0.02906657499185511,0.002439408272502386,0.17283931959062065
model,64,0.8323791453580159,19.80107047990391,0.30008476726537114,0.3036820653038154,0.2626334889168641,0.69193363,23.776144,0.3273452,0.3301339,0.2449256,114838,0.14044551346104328,3.9750735478060513,0.02726042516703242,0.02645181984137196,0.01770788564633341
model,66,0.926549568105346,15.144710304807163,0.20049994255942685,0.22993624391578615,0.658473952541822,0.9810648,6.784301,0.1867344,0.22869974,0.6699938,104180,0.05451522834240785,8.360409500668979,0.013765549320405551,0.001236500168074972,0.011519865264421947
model,70,0.2444366518534889,26.28145807046215,0.5872223687113532,0.5887544103111686,0.1447930481464066,0.16552414,26.884502,0.81300145,0.8157679,0.14969918,84389,0.07891251185314557,0.6030443404265213,0.2257790851651421,0.22701347394328697,0.004906133171876492
model,65,0.9387157833230947,14.84562276798615,0.23919035853541634,0.24809878219430245,0.4239288561180411,0.9033592,16.808657,0.3665114,0.37366894,0.33575636,129419,0.03535660859470113,1.963033924518733,0.1273210459788964,0.1255701566808959,0.08817249463351351
model,69,0.9754856148223008,4.310704381298876,0.3702295448078197,0.3846478717466287,0.36818482564434984,0.9828951,6.010696,0.25168145,0.2906723,0.45278525,130638,0.007409461452571042,1.699991552996778,0.11854809777870595,0.09397556950053493,0.08460042788043043
model,72,0.9676481520825895,9.421984632677521,0.6896997318478274,0.6940374263544871,0.20246517861208568,0.95227647,9.029182,0.63416433,0.64924705,0.24559991,132543,0.015371683805611935,0.3928021985954899,0.05553539850432154,0.04479037606914771,0.04313473200478901
model,68,0.9624560593092542,7.006398831454476,0.27742660229113025,0.28806018694301055,0.29919355116687885,0.95060927,3.6110168,0.26646313,0.27673438,0.27322555,107511,0.011846792551289065,3.3953820811187825,0.010963471578621098,0.01132580502887176,0.025968005283700135
model,67,0.8556879261853809,10.500560979667263,0.3208715047708544,0.32753892610032764,0.2534230618670844,0.9050931,10.385718,0.27195257,0.2771916,0.25640616,45584,0.04940514765952875,0.11484263402517314,0.04891893528614372,0.05034731695611683,0.0029830963417626366
