target_id,eta,tau_transfer,ipr,purity,c_l1,dataset_index
162,0.9084822,17.564554,0.24044713,0.24926578,0.3240329,42803
163,0.31125742,22.369558,0.26200303,0.36804664,0.71938926,1459
164,0.4174658,19.837389,0.21155006,0.21506488,0.22330345,68069
165,0.6306602,12.79828,0.32826695,0.34460637,0.3558489,46663
166,0.87527996,14.113092,0.21014732,0.23421419,0.47727737,102649
167,0.055500045,26.757128,0.36788923,0.3722383,0.20740405,23918
168,0.9634831,9.824373,0.22221565,0.23145387,0.34987503,129278
169,0.9512185,5.435145,0.31485316,0.35973653,0.40417278,88135
170,0.17418015,27.298477,0.34834108,0.3515214,0.19718997,83412
171,0.26585367,28.249697,0.40244472,0.4884497,0.5374531,95843
172,0.6105009,23.13431,0.55489653,0.56111866,0.22003186,127898
173,0.6201903,22.282326,0.27630904,0.28633088,0.39370427,131660
174,0.920569,5.976424,0.45569226,0.46005416,0.15364957,116898
175,0.4368854,27.196178,0.28598428,0.30417836,0.3518146,62291
176,0.9371833,4.2727866,0.37492657,0.3836945,0.28719553,59051
177,0.3774842,25.969688,0.8260946,0.82788026,0.13646677,11502
178,0.15072244,28.104229,0.29563823,0.3006917,0.21228768,42254
179,0.9381767,2.7796597,0.34425157,0.36166787,0.32354036,46132
180,0.37032053,26.036715,0.31001493,0.32229596,0.3179883,51618
181,0.9761339,12.398172,0.26405317,0.26692203,0.19055498,67014
182,0.98323125,7.293705,0.18892466,0.20418373,0.38552797,99602
183,0.97444177,9.519079,0.24165972,0.26373178,0.49248752,67695
184,0.67017376,21.726582,0.42676258,0.42880788,0.18695776,41623
185,0.17347693,23.181128,0.24559449,0.3122152,0.71904093,67410
186,0.40926892,23.096407,0.22079779,0.23269965,0.39379376,57821
187,0.87789935,11.328646,0.2570406,0.25945377,0.17801166,5920
188,0.4099868,25.91455,0.54621243,0.5467785,0.09397277,70264
189,0.6421041,24.806776,0.38167205,0.3842057,0.19629765,122404
190,0.42721227,25.1097,0.76693326,0.7684736,0.11646682,125615
191,0.09353386,23.870848,0.21282002,0.22480519,0.39727622,61615
192,0.91231287,12.093957,0.23634078,0.2517658,0.3823296,4980
193,0.9666059,11.439846,0.36922804,0.3845366,0.4353785,100008
194,0.21902457,28.33867,0.8564889,0.85750955,0.09974089,49295
195,0.95940125,16.17942,0.33367944,0.33721516,0.24706848,82382
196,0.5333079,24.617947,0.33726513,0.3399275,0.19957608,24276
197,0.18479988,24.577337,0.6083756,0.6118201,0.20934775,53983
198,0.5756875,24.135557,0.27257717,0.2769333,0.21184646,92812
199,0.7944265,16.446856,0.2887997,0.30435038,0.35470855,136517
200,0.91785604,4.7940564,0.28115964,0.2912199,0.3271654,76666
